line number,satellite catalog number,classification,International Designator(launch year),International Designator (launch num),International Designator (piece of launch),epoch year,epoch day,first time derivative of mean motion(ballisitc coefficient),second time derivative of mean motion(delta-dot),bstar drag term,ephemeris type,element number,checksum,inclination,right ascension of the ascending node,eccentricity,argument of perigee,mean anomaly,mean motion,revolution number at epoch,#JCAT,DeepCat,Satcat,Piece,Active,Type,Name,LDate,Parent,Owner,State,SDate,ExpandedStatus,DDate,ODate,Period,Perigee,PF,Apogee,AF,Inc,IF,OpOrbit,PLName,Primary,Status,Dest,Manufacturer,Bus,Motor,Mass,MassFlag,DryMass,DryFlag,TotMass,TotFlag,Length,LFlag,Diameter,DFlag,Span,SpanFlag,Shape,OQUAL,AltNames
1,32954,U,08,025,B  ,23,110.78025732, .00000018, 00000+0, 59493-4,0,  999,1, 82.5065,354.4504,0020407,327.8667, 32.1168,12.42723384,67633,S32954,-,32954,2008-025B,P,P           ,Kosmos-2437,2008 May 23,S32957,VVKOV,RU,2008 May 23 1704,In Earth orbit,-,2023 Apr 16 ,     115.875 ,    1478, ,    1511, , 82.51 , ,LEO/I,Strela-3 No. 151L (551),Earth,O,-,RESH,Strela-3,-,     225 , ,    225 , ,     225 , ,   1.6 , ,  0.8 , ,    7.0 ,?,Cyl + Ant,-,Strela-3 [No. 129]:JP
1,32955,U,08,025,C  ,23,110.77983487, .00000012, 00000+0, 13209-4,0,  999,0, 82.5064,350.6212,0020723,305.2151, 54.6990,12.43329153,67666,S32955,-,32955,2008-025C,P,P           ,Kosmos-2438,2008 May 23,S32957,VVKOV,RU,2008 May 23 1704,In Earth orbit,-,2023 Apr 16 ,     115.818 ,    1476, ,    1509, , 82.51 , ,LEO/I,Strela-3 No. 155L (555),Earth,O,-,RESH,Strela-3,-,     225 , ,    225 , ,     225 , ,   1.6 , ,  0.8 , ,    7.0 ,?,Cyl + Ant,-,Strela-3 [No. 130]:JP
1,32956,U,08,025,D  ,23,111.20313896, .00000010, 00000+0, 30430-5,0,  999,5, 82.5122,354.4572,0020658,313.8906, 46.0462,12.43030865,67655,S32956,-,32956,2008-025D,P,P           ,Kosmos-2439,2008 May 23,S32957,VVKOV,RU,2008 May 23 1704,In Earth orbit,-,2023 Apr 16 ,     115.846 ,    1477, ,    1510, , 82.51 , ,LEO/I,Strela-3 No. 160L (560),Earth,O,-,RESH,Strela-3,-,     225 , ,    225 , ,     225 , ,   1.6 , ,  0.8 , ,    7.0 ,?,Cyl + Ant,-,Strela-3 [No. 131]:JP
1,32958,U,08,026,A  ,23,110.59772423, .00000289, 00000+0, 15921-3,0,  999,8, 98.5499, 66.4162,0008030,209.2193,150.8535,14.18852698,77177,S32958,-,32958,2008-026A,P,P           ,Feng Yun 3A,2008 May 27,S32959,NSMC,CN,2008 May 27 0329,In Earth orbit,-,2023 Apr 16 ,     101.491 ,     823, ,     834, , 98.55 , ,LEO/S,FY-3 01 xing,Earth,O,-,SISE,FY-3,-,    2200 , ,   2130 , ,    2200 , ,   4.4 , ,  2.0 , ,   10.0 , ,Box + 2 Pan,-,-
1,33051,U,08,028,A  ,23,109.82266186,-.00000256, 00000+0, 00000+0,0,  999,6,  0.0036,202.7816,0003983,193.8296,199.3960, 1.00272149, 5443,S33051,-,33051,2008-028A,P,P           ,Zhongxing 9,2008 Jun  9,S33052,CHISAE,CN,2008 Jun  9 1241,In Earth orbit,-,2023 Apr 15 ,    1436.139 ,   35768, ,   35806, ,  0.02 , ,GEO/S,Zhongxing 9,Earth,N,-,THALES,Spacebus 4000C1,S400,    4466 , ,   2000 ,?,    4466 , ,   5.0 ,?,  2.5 ,?,   30.0 ,?,Box + 2 Pan,-,-
1,33053,U,08,029,A  ,23,111.02253442, .00004708, 00000+0, 23734-3,0,  999,3, 25.5824,228.0287,0011942,145.6270,214.5040,15.13756658,82054,S33053,-,33053,2008-029A,A,P           ,Fermi Gamma-ray Space Tel.,2008 Jun 11,S33054,GSFC,US,2008 Jun 11 1720,In Earth orbit,-,2023 Apr 15 ,      95.131 ,     516, ,     533, , 25.58 , ,LLEO/I,GLAST,Earth,O,-,GDG,SA-200,AOCS,    4277 , ,   3919 , ,    4277 , ,   2.8 , ,  2.5 , ,   10.0 ,?,Box + Cyl + 2 Pan,-,-
1,33055,U,08,030,A  ,23,110.79244878,-.00000145, 00000+0, 00000+0,0,  999,2,  0.8198, 88.0444,0005147,307.7103, 80.3264, 1.00271417, 5439,S33055,-,33055,2008-030A,A,P           ,Skynet 5C,2008 Jun 12,S33058,ADSP,UK,2008 Jun 12 2232,In Earth orbit,-,2023 Apr 16 ,    1436.103 ,   35764, ,   35808, ,  0.81 , ,GEO/S,Skynet 5C,Earth,O,-,EADSB,Eurostar 3000,R-4D-15-375,    4635 , ,   2170 , ,    4635 , ,   4.5 , ,  2.9 , ,   34.0 , ,Box + 2 Pan,-,-
1,33056,U,08,030,B  ,23,111.07827111, .00000140, 00000+0, 00000+0,0,  999,6,  0.0548, 99.3911,0004305,304.0281,235.6695, 1.00275493, 5451,S33056,-,33056,2008-030B,A,P           ,Turksat 3A,2008 Jun 12,S33057,TURKS,TR,2008 Jun 12 2236,In Earth orbit,-,2023 Apr 16 ,    1436.085 ,   35768, ,   35804, ,  0.07 , ,GEO/S,Turksat 3A,Earth,O,-,THALES,Spacebus 4000B2,S400,    3010 , ,   1500 ,?,    3010 , ,   4.0 ,?,  2.3 ,?,   30.0 ,?,Box + 2 Pan,-,-
1,33153,U,08,034,A  ,23,110.86454932,-.00000230, 00000+0, 00000+0,0,  999,2,  0.0173,309.3266,0002842, 82.3406, 96.7495, 1.00272179, 5413,S33153,-,33153,2008-034A,P,P           ,Intelsat IS-25,2008 Jul  7,S33156,INTELU,US,2008 Jul  7 2214,In Earth orbit,-,2023 Apr 16 ,    1436.153 ,   35774, ,   35800, ,  0.01 , ,GEO/S,Protostar 1,Earth,N,-,LOR,FS-1300,R-4D-11-164,    4194 , ,   1774 , ,    4194 , ,   6.2 , ,  2.4 , ,   31.1 , ,Box + 2 Pan + Dish,-,-
1,33154,U,08,034,B  ,23,110.92438657, .00000138, 00000+0, 00000+0,0,  999,2,  0.0695, 53.4866,0006551,352.3373,161.7076, 1.00267652, 5419,S33154,-,33154,2008-034B,A,P           ,Badr 6,2008 Jul  7,S33155,I-ARAB,I-ARAB,2008 Jul  7 2222,In Earth orbit,-,2023 Apr 16 ,    1436.083 ,   35756, ,   35816, ,  0.09 , ,GEO/S,Arabsat 4AR,Earth,O,-,ASTT,Eurostar 2000+,R-4D-15-375,    3346 , ,   1510 , ,    3346 , ,   2.9 , ,  1.8 , ,   32.0 , ,Box + 2 Pan + Dish,-,-
